run_id,fold,validauc,validacc,timestamp,best_epoch,model_save_path
u2l30u75,1,N/A,N/A,N/A,N/A,N/A
ppiiiwh1,1,0.810697076645465,0.7649839836362935,1742179957.329407,12,models/dkt_DKT_LIQUID_A9_tiaocan_assist2009/assist2009_dkt_qid_models/dkt_DKT_LIQUID_A9_tiaocan_assist2009_3407_1_0.5_128_0.001_1_1_0_48be840f-c51b-4a83-a00e-ff2e71c881e8/
nmfsi46f,1,0.8119465766128608,0.7660453089421482,1742179757.638111,16,models/dkt_DKT_LIQUID_A9_tiaocan_assist2009/assist2009_dkt_qid_models/dkt_DKT_LIQUID_A9_tiaocan_assist2009_42_1_0.5_128_0.001_1_1_0_ecb0e443-fa95-423a-befa-46fc41b09264/
caey8601,0,N/A,N/A,N/A,N/A,N/A
ng6e7pcr,0,0.8270204045179148,0.7740463795551349,1742179406.3460972,96,models/dkt_DKT_LIQUID_A9_tiaocan_assist2009/assist2009_dkt_qid_models/dkt_DKT_LIQUID_A9_tiaocan_assist2009_3407_0_0.5_64_0.0001_1_1_0_adfaeae3-f929-4079-a335-515da81204e5/
lvebqcmx,1,0.7786730490367277,0.7448959901200263,1742179530.7764544,200,models/dkt_DKT_LIQUID_A9_tiaocan_assist2009/assist2009_dkt_qid_models/dkt_DKT_LIQUID_A9_tiaocan_assist2009_3407_1_0.5_64_1e-05_1_1_0_f1a46fd6-519b-4ce9-80f7-fe04ff61301c/
wvp3xead,0,0.8257272561515725,0.7735352579271179,1742178608.3451087,84,models/dkt_DKT_LIQUID_A9_tiaocan_assist2009/assist2009_dkt_qid_models/dkt_DKT_LIQUID_A9_tiaocan_assist2009_42_0_0.5_64_0.0001_1_1_0_840b5291-86f0-4d86-a050-7e6841fb007a/
1ihigrbz,0,0.8314435695061859,0.7770563180312352,1742177895.8424995,31,models/dkt_DKT_LIQUID_A9_tiaocan_assist2009/assist2009_dkt_qid_models/dkt_DKT_LIQUID_A9_tiaocan_assist2009_3407_0_0.5_64_0.001_1_1_0_e24239f6-bb9a-4fb4-945a-2c977272d02a/
zgryajqk,0,0.8303457706309927,0.7771131093232371,1742177562.7446144,31,models/dkt_DKT_LIQUID_A9_tiaocan_assist2009/assist2009_dkt_qid_models/dkt_DKT_LIQUID_A9_tiaocan_assist2009_42_0_0.5_64_0.001_1_1_0_9d6b817d-708d-4628-ac24-284e72bb560d/
0ewl5yxh,2,0.8209303366434539,0.7767379171570674,1742177775.1069329,130,models/dkt_DKT_LIQUID_A9_tiaocan_assist2009/assist2009_dkt_qid_models/dkt_DKT_LIQUID_A9_tiaocan_assist2009_3407_2_0.5_256_1e-05_1_1_0_f341961c-1832-4d37-921e-e33507493fe7/
