run_id,fold,validauc,model_save_path
oa20kp8l,3,N/A,N/A
wx0d88vp,0,N/A,N/A
tr97dl3c,3,0.8379095933718831,"models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009/assist2009_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009_42_3_0.3_128_256_4_1_0.001_1_1_[3, 5]_c056d7d7-b420-4b15-af52-f2143c455ff3/qid_model.ckpt"
dky3ua3o,1,N/A,N/A
22s00uad,3,0.8385487517532757,"models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009/assist2009_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009_3407_3_0.3_128_256_8_2_0.001_1_1_[3, 5]_05063913-2e6b-441a-a650-dfb096c300d1/qid_model.ckpt"
phhui3oo,3,0.8384499086583235,"models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009/assist2009_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009_3407_3_0.3_128_256_4_1_0.001_1_1_[3, 5]_080e4d77-b374-4a72-a177-86b2075e0474/qid_model.ckpt"
jnp0ioik,4,N/A,N/A
cpo4u4dp,3,0.8380952105042534,"models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009/assist2009_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009_42_3_0.3_128_256_8_2_0.001_1_1_[3, 5]_5d1635ac-32ab-40fd-81a1-baabcbe84515/qid_model.ckpt"
wyj96oss,3,0.8379095933718831,"models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009/assist2009_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009_42_3_0.3_128_256_4_1_0.001_1_1_[3, 5]_42f695e2-530b-48ac-b2c5-a234a0f3af13/qid_model.ckpt"
k9dn8ae4,4,0.8452639550007455,"models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009/assist2009_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009_42_4_0.3_128_256_8_1_0.0001_1_1_[3, 5]_3d757ad8-508e-4bbe-9a6c-9ed1b1e40c1b/qid_model.ckpt"
